Control.Total.SD,Chest.Total.SD,Head.Total.SD,PreFeat
0.056651623,0.077662508,0.065127218,SmoothThreshX.333.1AutoCorrelation
0.016661726,0.045452703,0.033430392,SmoothThreshX.333.1ClusterTendendcy
0.013802481,0.089318859,0.064658448,SmoothThreshX.333.1Contrast
0.000313258,0.000883037,0.000998725,SmoothThreshX.333.1Correlation
0.000175127,0.000729884,0.00065457,SmoothThreshX.333.1DifferenceEntropy
0.00374598,0.01823444,0.014340825,SmoothThreshX.333.1Dissimilarity
0.012958986,0.024255683,0.026104569,SmoothThreshX.333.1Energy
8.24E-05,0.000242967,0.000217755,SmoothThreshX.333.1Entropy
0.002372672,0.007416111,0.007691964,SmoothThreshX.333.1Homogeneity
0.004130763,0.012627709,0.013378171,SmoothThreshX.333.1Homogeneity2
0.001230441,0.002672024,0.002431545,SmoothThreshX.333.1InformationMeasureCorr1
3.00E-05,6.47E-05,6.96E-05,SmoothThreshX.333.1InformationMeasureCorr2
3.99E-07,5.46E-07,6.74E-07,SmoothThreshX.333.1InverseDiffMomentNorm
1.36E-05,1.70E-05,1.93E-05,SmoothThreshX.333.1InverseDiffNorm
0.004198654,0.012890324,0.013959774,SmoothThreshX.333.1InverseVariance
0.193992665,0.167645312,0.238156823,SmoothThreshX.333.1MaxProbability
0.016099807,0.020289516,0.019554651,SmoothThreshX.333.1SumAverage
9.75E-05,0.000193207,0.000159031,SmoothThreshX.333.1SumEntropy
0.057435963,0.079138026,0.066118384,SmoothThreshX.333.1SumVariance
0.016661726,0.045452703,0.033430392,SmoothThreshX.333.1Variance
0.004357837,0.007097394,0.006443972,SmoothThreshX.333GrayLevelNonuniformity
0.000195614,0.000187557,0.000176886,SmoothThreshX.333HighGrayLevelRunEmpha
8.43E-06,2.99E-05,2.61E-05,SmoothThreshX.333LongRunEmphasis
0.000218255,0.000239039,0.000246384,SmoothThreshX.333LongRunHighGrayLevelEmpha
2.345947342,6.383828932,2.599600002,SmoothThreshX.333LongRunLowGrayLevelEmpha
1.676990911,3.957692152,1.337748991,SmoothThreshX.333LowGrayLevelRunEmpha
7.68E-06,2.89E-05,2.45E-05,SmoothThreshX.333RunLengthNonuniformity
8.87E-07,3.35E-06,2.84E-06,SmoothThreshX.333RunPercentage
4.92E-07,1.85E-06,1.58E-06,SmoothThreshX.333ShortRunEmphasis
0.000192687,0.000181978,0.000168894,SmoothThreshX.333ShortRunHighGrayLevelEmpha
1.612128609,3.320707518,1.201519889,SmoothThreshX.333ShortRunLowGrayLevelEmpha
